Date,Open,High,Low,Close,Adj Close,Volume
2019-01-16,3.000000,3.140000,3.000000,3.090000,3.090000,105900
2019-01-17,3.070000,3.120000,3.030000,3.070000,3.070000,90900
2019-01-18,3.090000,3.140000,2.950000,3.030000,3.030000,169300
2019-01-22,3.000000,3.020000,2.650000,2.650000,2.650000,391700
2019-01-23,2.680000,2.960000,2.660000,2.710000,2.710000,339100
2019-01-24,2.670000,2.710000,2.600000,2.650000,2.650000,263000
2019-01-25,2.650000,2.860000,2.650000,2.800000,2.800000,282900
2019-01-28,2.760000,2.790000,2.700000,2.730000,2.730000,125500
2019-01-29,2.750000,2.750000,2.650000,2.700000,2.700000,91100
2019-01-30,2.720000,2.910000,2.660000,2.830000,2.830000,172400
2019-01-31,2.820000,2.950000,2.820000,2.910000,2.910000,105000
2019-02-01,2.900000,2.910000,2.760000,2.880000,2.880000,168700
2019-02-04,2.870000,2.900000,2.820000,2.870000,2.870000,78600
2019-02-05,2.860000,2.870000,2.740000,2.740000,2.740000,144800
2019-02-06,2.760000,2.900000,2.740000,2.850000,2.850000,92600
2019-02-07,2.800000,2.900000,2.770000,2.840000,2.840000,115800
2019-02-08,2.830000,3.080000,2.790000,2.840000,2.840000,350700
2019-02-11,2.860000,3.000000,2.860000,2.970000,2.970000,105000
2019-02-12,2.990000,3.080000,2.960000,3.030000,3.030000,139200
2019-02-13,3.060000,3.100000,3.020000,3.060000,3.060000,127600
2019-02-14,3.070000,3.070000,2.890000,2.940000,2.940000,93700
2019-02-15,2.950000,3.030000,2.950000,2.960000,2.960000,76100
2019-02-19,2.970000,3.360000,2.940000,3.090000,3.090000,564400
2019-02-20,3.140000,3.230000,3.000000,3.030000,3.030000,221000
2019-02-21,3.040000,3.090000,2.950000,3.010000,3.010000,125100
2019-02-22,3.050000,3.190000,3.000000,3.070000,3.070000,179500
2019-02-25,3.120000,3.200000,3.080000,3.120000,3.120000,173900
2019-02-26,3.100000,3.130000,2.980000,3.070000,3.070000,103200
2019-02-27,3.090000,3.110000,2.980000,3.080000,3.080000,78100
2019-02-28,3.110000,3.120000,2.950000,3.040000,3.040000,189000
2019-03-01,3.050000,3.140000,2.940000,3.110000,3.110000,225400
2019-03-04,3.150000,3.230000,3.080000,3.210000,3.210000,213300
2019-03-05,3.200000,3.390000,3.200000,3.270000,3.270000,219100
2019-03-06,3.260000,3.280000,3.180000,3.250000,3.250000,171400
2019-03-07,3.280000,3.460000,3.250000,3.430000,3.430000,234400
2019-03-08,3.430000,3.430000,3.350000,3.370000,3.370000,160500
2019-03-11,3.400000,3.620000,3.370000,3.540000,3.540000,251800
2019-03-12,3.610000,3.740000,3.560000,3.590000,3.590000,268800
2019-03-13,3.610000,3.750000,3.600000,3.710000,3.710000,199900
