,0,1,2,3,4
165,2021-01-22,5,6,2,0.808
166,2021-01-21,2,1,10,-0.846
167,2021-01-20,10,3,7,0.375
168,2021-01-19,11,5,1,1.176
169,2021-01-18,7,1,0,1.438
170,2021-01-17,1,1,1,0.333
171,2021-01-16,1,0,2,-0.5
172,2021-01-15,11,6,4,0.786
173,2021-01-14,2,4,4,0.1
174,2021-01-13,7,3,9,0.0
175,2021-01-12,9,3,2,0.964
176,2021-01-11,8,3,6,0.353
177,2021-01-10,2,2,2,0.333
178,2021-01-09,3,1,0,1.375
179,2021-01-08,22,6,4,1.031
180,2021-01-07,18,2,0,1.45
181,2021-01-06,8,4,3,0.767
182,2021-01-05,7,1,5,0.308
183,2021-01-04,34,7,2,1.279
184,2021-01-03,3,1,0,1.375
185,2021-01-02,10,3,1,1.179
186,2021-01-01,4,0,0,1.5
187,2020-12-31,10,6,0,1.313
188,2020-12-30,11,2,1,1.214
189,2020-12-29,10,6,0,1.313
190,2020-12-28,8,3,0,1.364
191,2020-12-27,1,2,2,0.1
192,2020-12-26,1,1,1,0.333
193,2020-12-25,1,1,0,1.25
194,2020-12-24,5,2,0,1.357
195,2020-12-23,5,2,6,0.038
196,2020-12-22,9,3,6,0.417
197,2020-12-21,14,17,19,0.19
198,2020-12-20,5,3,0,1.313
199,2020-12-19,2,1,1,0.625
200,2020-12-18,22,6,6,0.882
201,2020-12-17,10,1,1,1.208
202,2020-12-16,3,3,0,1.25
203,2020-12-15,6,3,2,0.818
204,2020-12-14,10,4,5,0.605
205,2020-12-13,0,1,3,-0.875
206,2020-12-12,1,2,3,-0.167
207,2020-12-11,3,7,6,0.156
208,2020-12-10,6,6,4,0.563
209,2020-12-09,9,1,10,-0.025
210,2020-12-08,17,17,8,0.726
211,2020-12-07,12,5,0,1.353
212,2020-12-06,2,0,0,1.5
213,2020-12-05,4,4,0,1.25
214,2020-12-04,6,5,1,1.042
215,2020-12-03,16,7,2,1.12
216,2020-12-02,4,5,2,0.727
217,2020-12-01,15,10,3,1.0
218,2020-11-30,16,3,2,1.143
219,2020-11-29,2,5,0,1.143
220,2020-11-27,6,2,5,0.269
221,2020-11-26,4,0,1,0.9
222,2020-11-25,8,4,11,-0.022
223,2020-11-24,21,2,2,1.22
224,2020-11-23,12,0,0,1.5
225,2020-11-22,2,0,0,1.5
226,2020-11-21,2,0,1,0.5
227,2020-11-20,8,5,0,1.308
228,2020-11-19,14,5,9,0.446
229,2020-11-18,12,5,2,1.053
230,2020-11-17,39,7,1,1.362
231,2020-11-16,18,2,2,1.182
232,2020-11-15,1,0,0,1.5
233,2020-11-14,1,0,0,1.5
234,2020-11-13,3,4,0,1.214
235,2020-11-12,2,2,1,0.7
236,2020-11-11,4,3,0,1.286
237,2020-11-10,2,4,5,-0.045
238,2020-11-09,4,2,1,0.929
239,2020-11-08,0,1,0,1.0
240,2020-11-07,1,2,0,1.167
241,2020-11-06,4,4,1,0.944
242,2020-11-05,3,2,1,0.833
243,2020-11-04,2,1,0,1.333
244,2020-11-03,2,6,0,1.125
245,2020-11-02,5,3,1,1.0
246,2020-10-31,1,1,1,0.333
247,2020-10-30,5,0,1,1.0
248,2020-10-29,6,3,0,1.333
249,2020-10-28,3,4,0,1.214
250,2020-10-27,3,2,0,1.3
251,2020-10-26,10,7,0,1.294
252,2020-10-25,3,1,0,1.375
253,2020-10-24,3,1,0,1.375
254,2020-10-23,5,9,6,0.375
255,2020-10-22,31,8,2,1.256
256,2020-10-21,22,10,1,1.258
257,2020-10-20,11,8,5,0.708
258,2020-10-19,11,2,3,0.875
259,2020-10-18,1,3,0,1.125
260,2020-10-17,2,1,0,1.333
261,2020-10-16,3,6,1,0.9
262,2020-10-15,5,5,2,0.792
263,2020-10-14,9,7,0,1.281
264,2020-10-13,5,5,0,1.25
265,2020-10-12,2,2,1,0.7
266,2020-10-11,0,2,0,1.0
267,2020-10-10,1,1,0,1.25
268,2020-10-09,6,0,1,1.071
269,2020-10-08,8,7,0,1.267
270,2020-10-07,6,5,2,0.846
271,2020-10-06,8,6,3,0.794
272,2020-10-05,10,0,1,1.227
273,2020-10-04,1,0,1,0.0
274,2020-10-03,2,1,1,0.625
275,2020-10-02,21,4,5,0.933
276,2020-10-01,10,7,4,0.762
277,2020-09-30,6,2,0,1.375
278,2020-09-29,4,3,0,1.286
279,2020-09-28,13,6,1,1.2
280,2020-09-27,1,0,0,1.5
281,2020-09-26,1,2,0,1.167
282,2020-09-25,7,3,2,0.875
283,2020-09-24,10,3,5,0.583
284,2020-09-23,10,20,24,-0.019
285,2020-09-22,20,23,9,0.76
286,2020-09-21,11,15,1,1.111
287,2020-09-20,2,2,1,0.7
288,2020-09-18,11,2,0,1.423
289,2020-09-17,2,2,4,-0.125
290,2020-09-16,3,7,0,1.15
291,2020-09-15,7,5,1,1.077
292,2020-09-14,3,4,0,1.214
293,2020-09-13,0,1,3,-0.875
294,2020-09-12,2,1,0,1.333
295,2020-09-11,14,10,2,1.077
296,2020-09-10,9,9,4,0.75
297,2020-09-09,8,5,5,0.528
298,2020-09-08,4,10,30,-0.659
299,2020-09-07,0,1,1,-0.25
300,2020-09-06,1,3,1,0.6
301,2020-09-05,1,0,0,1.5
302,2020-09-04,2,6,11,-0.395
303,2020-09-03,5,6,9,0.0
304,2020-09-02,5,8,11,-0.042
305,2020-09-01,19,9,5,0.909
306,2020-08-31,19,18,1,1.184
307,2020-08-30,0,1,1,-0.25
308,2020-08-29,1,1,1,0.333
309,2020-08-28,6,7,2,0.867
310,2020-08-27,7,3,5,0.4
311,2020-08-26,10,4,1,1.167
312,2020-08-25,4,5,0,1.222
313,2020-08-24,10,7,2,1.0
314,2020-08-23,3,0,0,1.5
315,2020-08-22,1,1,0,1.25
316,2020-08-21,14,3,1,1.25
317,2020-08-20,16,3,1,1.275
318,2020-08-19,4,1,1,0.917
319,2020-08-18,7,5,1,1.077
320,2020-08-17,14,2,2,1.111
321,2020-08-16,0,1,0,1.0
322,2020-08-15,3,0,0,1.5
323,2020-08-14,7,6,0,1.269
324,2020-08-13,5,3,1,1.0
325,2020-08-12,20,12,2,1.147
326,2020-08-11,8,5,2,0.933
327,2020-08-10,3,4,0,1.214
328,2020-08-09,1,0,0,1.5
329,2020-08-08,0,1,0,1.0
330,2020-08-07,1,1,1,0.333
331,2020-08-06,1,1,0,1.25
332,2020-08-05,2,0,1,0.5
333,2020-08-04,2,0,1,0.5
334,2020-08-03,1,1,1,0.333
335,2020-08-02,0,0,1,-1.5
336,2020-08-01,1,1,0,1.25
337,2020-07-31,3,2,2,0.5
338,2020-07-30,3,3,0,1.25
339,2020-07-29,6,6,1,1.038
340,2020-07-28,1,3,8,-0.625
341,2020-07-27,5,2,1,1.0
342,2020-07-26,2,1,0,1.333
343,2020-07-25,2,2,0,1.25
344,2020-07-24,8,4,4,0.625
345,2020-07-23,22,10,11,0.616
346,2020-07-22,34,22,3,1.161
347,2020-07-21,5,11,5,0.524
348,2020-07-20,4,4,3,0.5
349,2020-07-19,0,2,1,0.167
350,2020-07-18,0,1,0,1.0
351,2020-07-17,5,2,1,1.0
352,2020-07-16,3,3,7,-0.231
353,2020-07-15,6,8,3,0.735
354,2020-07-14,18,9,10,0.568
355,2020-07-13,17,14,3,1.029
356,2020-07-12,1,3,0,1.125
357,2020-07-11,0,2,0,1.0
358,2020-07-10,8,8,1,1.088
359,2020-07-09,12,13,2,1.037
360,2020-07-08,9,4,2,0.967
361,2020-07-07,18,2,1,1.31
362,2020-07-06,15,7,0,1.341
363,2020-07-05,4,0,0,1.5
364,2020-07-04,0,2,0,1.0
365,2020-07-03,8,1,1,1.15
366,2020-07-02,34,5,4,1.163
367,2020-07-01,15,8,1,1.208
368,2020-06-30,15,4,0,1.395
369,2020-06-29,8,7,1,1.094
370,2020-06-28,0,2,0,1.0
371,2020-06-27,0,1,0,1.0
372,2020-06-26,3,3,0,1.25
373,2020-06-25,7,4,7,0.222
374,2020-06-24,1,1,17,-1.211
375,2020-06-23,2,8,5,0.233
376,2020-06-22,3,9,0,1.125
377,2020-06-21,1,1,1,0.333
378,2020-06-19,5,13,1,1.0
379,2020-06-18,7,6,2,0.9
380,2020-06-17,5,6,4,0.5
381,2020-06-16,9,7,1,1.118
382,2020-06-15,13,4,0,1.382
383,2020-06-14,3,0,0,1.5
384,2020-06-13,0,2,0,1.0
385,2020-06-12,3,5,7,-0.067
386,2020-06-11,13,0,0,1.5
387,2020-06-10,23,6,0,1.397
388,2020-06-09,6,4,3,0.654
389,2020-06-08,8,2,0,1.4
390,2020-06-05,4,4,1,0.944
391,2020-06-04,4,9,1,0.964
392,2020-06-03,2,1,2,0.2
393,2020-06-02,2,4,2,0.5
394,2020-06-01,3,2,0,1.3
395,2020-05-30,1,2,0,1.167
396,2020-05-29,4,5,0,1.222
397,2020-05-28,4,6,0,1.2
398,2020-05-27,5,7,3,0.667
399,2020-05-26,1,1,1,0.333
400,2020-05-23,0,1,0,1.0
401,2020-05-22,2,0,2,0.0
402,2020-05-21,3,6,2,0.682
403,2020-05-20,4,7,0,1.182
404,2020-05-19,1,5,2,0.438
405,2020-05-18,5,4,0,1.278
406,2020-05-17,1,0,0,1.5
407,2020-05-16,0,0,1,-1.5
408,2020-05-15,6,5,0,1.273
409,2020-05-14,8,3,5,0.469
410,2020-05-13,20,12,5,0.932
411,2020-05-12,12,18,6,0.75
412,2020-05-11,4,20,19,-0.058
413,2020-05-10,2,1,2,0.2
414,2020-05-09,2,5,11,-0.472
415,2020-05-08,8,5,6,0.421
416,2020-05-07,0,2,6,-0.875
417,2020-05-06,2,8,0,1.1
418,2020-05-05,4,3,2,0.667
419,2020-05-04,6,1,2,0.778
420,2020-05-03,3,0,0,1.5
421,2020-05-02,1,1,2,-0.125
422,2020-05-01,8,5,20,-0.394
423,2020-04-30,7,10,3,0.8
424,2020-04-29,23,20,5,0.979
425,2020-04-28,5,5,2,0.792
426,2020-04-27,6,6,4,0.563
427,2020-04-26,0,5,2,0.286
428,2020-04-25,1,2,0,1.167
429,2020-04-24,1,4,3,0.125
430,2020-04-23,3,3,2,0.563
431,2020-04-22,2,2,1,0.7
432,2020-04-21,3,0,0,1.5
433,2020-04-20,2,4,1,0.786
434,2020-04-19,0,1,0,1.0
435,2020-04-17,3,2,0,1.3
436,2020-04-16,2,2,2,0.333
437,2020-04-15,10,6,5,0.643
438,2020-04-14,9,6,2,0.971
439,2020-04-13,3,1,1,0.8
440,2020-04-10,6,2,2,0.8
441,2020-04-09,5,2,1,1.0
442,2020-04-08,1,3,10,-0.75
443,2020-04-07,3,1,3,0.143
444,2020-04-06,7,9,2,0.917
445,2020-04-05,1,3,0,1.125
446,2020-04-04,1,2,0,1.167
447,2020-04-03,6,6,3,0.7
448,2020-04-02,13,3,5,0.714
449,2020-04-01,1,5,1,0.714
450,2020-03-31,4,3,4,0.273
451,2020-03-30,1,3,4,-0.188
452,2020-03-27,0,3,7,-0.75
453,2020-03-26,3,9,0,1.125
454,2020-03-25,3,3,2,0.563
455,2020-03-24,5,5,4,0.464
456,2020-03-23,2,3,0,1.2
457,2020-03-22,1,4,0,1.1
458,2020-03-21,1,1,1,0.333
459,2020-03-20,0,7,3,0.25
460,2020-03-19,7,21,6,0.662
461,2020-03-18,3,16,8,0.315
462,2020-03-17,0,14,5,0.342
463,2020-03-16,2,4,5,-0.045
464,2020-03-14,0,0,1,-1.5
465,2020-03-13,2,3,3,0.188
466,2020-03-12,1,2,5,-0.5
467,2020-03-11,5,1,2,0.688
468,2020-03-10,17,4,3,1.042
469,2020-03-09,3,1,6,-0.35
470,2020-03-07,0,0,1,-1.5
471,2020-03-06,6,3,1,1.05
472,2020-03-05,1,0,4,-0.9
473,2020-03-04,3,1,2,0.417
474,2020-03-03,6,2,1,1.056
475,2020-03-02,3,1,3,0.143
476,2020-03-01,0,1,0,1.0
477,2020-02-29,0,1,0,1.0
478,2020-02-28,3,2,3,0.25
479,2020-02-27,3,1,6,-0.35
480,2020-02-26,1,0,9,-1.2
481,2020-02-25,1,5,13,-0.684
482,2020-02-24,0,0,3,-1.5
483,2020-02-23,2,0,0,1.5
484,2020-02-22,1,1,0,1.25
485,2020-02-21,9,4,1,1.143
486,2020-02-20,14,3,1,1.25
487,2020-02-19,18,7,3,1.054
488,2020-02-18,17,8,3,1.036
489,2020-02-17,0,1,2,-0.667
490,2020-02-16,1,2,1,0.5
491,2020-02-15,0,4,0,1.0
492,2020-02-14,7,11,5,0.609
493,2020-02-13,17,17,14,0.448
494,2020-02-12,3,2,7,-0.333
495,2020-02-11,2,6,4,0.25
496,2020-02-10,16,5,2,1.13
497,2020-02-09,1,2,1,0.5
498,2020-02-08,4,6,1,0.955
499,2020-02-07,7,11,3,0.81
500,2020-02-06,5,8,11,-0.042
501,2020-02-05,20,8,28,-0.071
502,2020-02-04,57,10,9,1.079
503,2020-02-03,21,5,3,1.103
504,2020-02-02,2,0,0,1.5
505,2020-02-01,1,2,0,1.167
506,2020-01-31,8,2,0,1.4
507,2020-01-30,32,3,3,1.224
508,2020-01-29,30,9,2,1.244
509,2020-01-28,7,4,1,1.083
510,2020-01-27,6,1,2,0.778
511,2020-01-26,1,2,1,0.5
512,2020-01-25,3,1,0,1.375
513,2020-01-24,5,7,6,0.306
514,2020-01-23,9,2,1,1.167
515,2020-01-22,26,7,1,1.309
516,2020-01-21,14,7,3,0.979
517,2020-01-20,4,4,0,1.25
518,2020-01-19,3,0,0,1.5
519,2020-01-18,1,0,1,0.0
520,2020-01-17,7,4,6,0.324
521,2020-01-16,5,4,8,-0.029
522,2020-01-15,3,4,1,0.875
523,2020-01-14,16,5,2,1.13
524,2020-01-13,24,11,1,1.264
525,2020-01-12,0,1,0,1.0
526,2020-01-11,1,0,0,1.5
527,2020-01-10,5,4,3,0.583
528,2020-01-09,7,4,2,0.885
529,2020-01-08,12,3,2,1.059
530,2020-01-07,29,11,1,1.293
531,2020-01-06,8,3,0,1.364
532,2020-01-05,2,1,0,1.333
533,2020-01-04,3,1,0,1.375
534,2020-01-03,13,16,1,1.133
535,2020-01-02,14,3,0,1.412
536,2020-01-01,0,1,2,-0.667
537,2019-12-31,0,1,2,-0.667
538,2019-12-30,9,10,7,0.5
539,2019-12-29,1,1,0,1.25
540,2019-12-28,1,0,0,1.5
541,2019-12-27,18,6,0,1.375
542,2019-12-26,9,3,2,0.964
543,2019-12-24,2,2,1,0.7
544,2019-12-23,14,2,1,1.265
545,2019-12-22,2,0,0,1.5
546,2019-12-21,2,2,0,1.25
547,2019-12-20,8,5,0,1.308
548,2019-12-19,11,4,1,1.188
549,2019-12-18,11,2,7,0.4
550,2019-12-17,2,2,3,0.071
551,2019-12-16,4,3,3,0.45
552,2019-12-15,0,1,0,1.0
553,2019-12-14,2,0,0,1.5
554,2019-12-13,1,1,2,-0.125
555,2019-12-12,3,1,2,0.417
556,2019-12-11,4,6,0,1.2
557,2019-12-10,4,1,0,1.4
558,2019-12-09,4,6,3,0.577
559,2019-12-06,6,3,2,0.818
560,2019-12-05,1,1,3,-0.4
561,2019-12-04,2,4,1,0.786
562,2019-12-03,6,7,7,0.275
563,2019-12-02,1,2,1,0.5
564,2019-11-30,0,5,0,1.0
565,2019-11-29,2,3,1,0.75
566,2019-11-28,1,3,0,1.125
567,2019-11-27,5,4,1,1.0
568,2019-11-26,6,8,2,0.875
569,2019-11-25,15,6,1,1.227
570,2019-11-23,5,2,1,1.0
571,2019-11-22,19,19,21,0.271
572,2019-11-21,4,10,2,0.813
573,2019-11-20,6,4,2,0.833
574,2019-11-19,4,1,0,1.4
575,2019-11-18,1,0,3,-0.75
576,2019-11-16,0,1,0,1.0
577,2019-11-15,3,1,0,1.375
578,2019-11-14,8,2,2,0.917
579,2019-11-13,12,6,2,1.05
580,2019-11-12,9,3,3,0.8
581,2019-11-11,5,1,3,0.444
582,2019-11-09,1,0,0,1.5
583,2019-11-08,6,4,0,1.3
584,2019-11-07,3,1,1,0.8
585,2019-11-06,6,2,1,1.056
586,2019-11-05,8,0,1,1.167
587,2019-11-04,0,0,3,-1.5
588,2019-11-03,0,1,0,1.0
589,2019-11-01,4,1,1,0.917
590,2019-10-31,5,1,1,1.0
591,2019-10-30,4,4,0,1.25
592,2019-10-29,1,2,5,-0.5
593,2019-10-28,7,2,1,1.1
594,2019-10-27,3,0,0,1.5
595,2019-10-26,2,0,0,1.5
596,2019-10-25,12,6,1,1.184
597,2019-10-24,23,15,4,1.036
598,2019-10-23,27,11,3,1.146
599,2019-10-22,6,5,1,1.042
600,2019-10-21,2,2,1,0.7
601,2019-10-20,0,2,1,0.167
602,2019-10-18,4,3,1,0.938
603,2019-10-17,7,2,0,1.389
604,2019-10-16,1,1,1,0.333
605,2019-10-15,2,0,3,-0.3
606,2019-10-14,3,0,1,0.75
607,2019-10-13,0,1,0,1.0
608,2019-10-12,1,0,0,1.5
609,2019-10-11,4,2,0,1.333
610,2019-10-10,1,3,0,1.125
611,2019-10-09,2,6,2,0.6
612,2019-10-08,1,0,0,1.5
613,2019-10-07,4,2,1,0.929
614,2019-10-06,0,1,1,-0.25
615,2019-10-04,5,6,7,0.167
616,2019-10-03,5,3,11,-0.316
617,2019-10-02,9,6,12,0.056
618,2019-10-01,5,3,1,1.0
619,2019-09-30,1,0,1,0.0
620,2019-09-28,1,1,1,0.333
621,2019-09-27,4,5,3,0.542
622,2019-09-26,9,5,2,0.969
623,2019-09-25,0,4,0,1.0
624,2019-09-24,4,2,3,0.389
625,2019-09-23,1,2,1,0.5
626,2019-09-21,2,1,0,1.333
627,2019-09-20,0,0,3,-1.5
628,2019-09-19,6,2,1,1.056
