,0,1,2,3,4
166,2021-01-25,18,12,5,0.9
167,2021-01-24,4,4,0,1.25
168,2021-01-23,1,1,0,1.25
169,2021-01-22,15,2,1,1.278
170,2021-01-21,14,2,3,0.974
171,2021-01-20,5,2,1,1.0
172,2021-01-19,6,2,1,1.056
173,2021-01-18,1,0,0,1.5
174,2021-01-17,1,1,2,-0.125
175,2021-01-16,3,3,0,1.25
176,2021-01-15,11,3,2,1.031
177,2021-01-14,2,1,0,1.333
178,2021-01-13,10,4,0,1.357
179,2021-01-12,7,3,1,1.091
180,2021-01-11,7,0,9,-0.188
181,2021-01-10,4,2,0,1.333
182,2021-01-09,3,3,1,0.857
183,2021-01-08,20,3,0,1.435
184,2021-01-07,9,2,2,0.962
185,2021-01-06,8,3,9,0.075
186,2021-01-05,10,6,1,1.147
187,2021-01-04,5,5,2,0.792
188,2021-01-03,1,0,0,1.5
189,2021-01-02,3,0,0,1.5
190,2021-01-01,1,1,0,1.25
191,2020-12-31,12,7,1,1.175
192,2020-12-30,13,1,2,1.094
193,2020-12-29,8,3,4,0.6
194,2020-12-28,8,1,1,1.15
195,2020-12-27,0,1,2,-0.667
196,2020-12-26,2,1,0,1.333
197,2020-12-25,0,1,0,1.0
198,2020-12-24,4,4,0,1.25
199,2020-12-23,14,1,4,0.842
200,2020-12-22,31,7,0,1.408
201,2020-12-21,13,1,7,0.476
202,2020-12-20,1,1,2,-0.125
203,2020-12-19,0,4,4,-0.25
204,2020-12-18,3,1,5,-0.222
205,2020-12-17,4,0,7,-0.409
206,2020-12-16,6,1,20,-0.741
207,2020-12-15,14,6,13,0.227
208,2020-12-14,14,3,3,0.975
209,2020-12-13,2,0,0,1.5
210,2020-12-12,2,1,0,1.333
211,2020-12-11,5,4,0,1.278
212,2020-12-10,3,3,6,-0.125
213,2020-12-09,13,4,2,1.079
214,2020-12-08,23,9,3,1.114
215,2020-12-07,10,2,2,1.0
216,2020-12-05,1,1,0,1.25
217,2020-12-04,5,0,4,0.167
218,2020-12-03,3,1,0,1.375
219,2020-12-02,6,0,4,0.3
220,2020-12-01,14,4,5,0.761
221,2020-11-30,11,3,8,0.341
222,2020-11-27,1,3,0,1.125
223,2020-11-26,0,2,2,-0.25
224,2020-11-25,5,1,4,0.25
225,2020-11-24,3,6,2,0.682
226,2020-11-23,3,3,5,0.0
227,2020-11-21,0,2,0,1.0
228,2020-11-20,2,2,5,-0.278
229,2020-11-19,8,3,7,0.25
230,2020-11-18,4,28,12,0.364
231,2020-11-17,3,1,7,-0.455
232,2020-11-16,3,2,7,-0.333
233,2020-11-15,1,2,0,1.167
234,2020-11-13,5,1,0,1.417
235,2020-11-12,5,0,1,1.0
236,2020-11-11,14,4,7,0.58
237,2020-11-10,44,13,3,1.242
238,2020-11-09,9,3,10,0.068
239,2020-11-08,0,1,0,1.0
240,2020-11-07,1,1,0,1.25
241,2020-11-06,9,2,1,1.167
242,2020-11-05,8,3,6,0.353
243,2020-11-04,8,3,2,0.923
244,2020-11-03,11,4,3,0.889
245,2020-11-02,20,4,1,1.3
246,2020-11-01,2,0,3,-0.3
247,2020-10-31,0,0,1,-1.5
248,2020-10-30,13,12,14,0.269
249,2020-10-29,22,20,12,0.648
250,2020-10-28,9,8,3,0.85
251,2020-10-27,6,6,4,0.563
252,2020-10-26,10,13,5,0.732
253,2020-10-25,0,4,2,0.167
254,2020-10-24,0,2,0,1.0
255,2020-10-23,4,3,2,0.667
256,2020-10-22,6,0,2,0.75
257,2020-10-21,2,2,0,1.25
258,2020-10-20,6,3,2,0.818
259,2020-10-19,7,4,2,0.885
260,2020-10-18,2,1,0,1.333
261,2020-10-17,2,0,0,1.5
262,2020-10-16,2,3,1,0.75
263,2020-10-15,3,1,3,0.143
264,2020-10-14,15,10,4,0.914
265,2020-10-13,26,49,6,0.975
266,2020-10-12,22,5,6,0.879
267,2020-10-11,3,1,2,0.417
268,2020-10-10,4,1,3,0.313
269,2020-10-09,5,10,4,0.605
270,2020-10-08,3,3,4,0.15
271,2020-10-07,10,8,9,0.352
272,2020-10-06,12,14,22,-0.021
273,2020-10-05,3,4,1,0.875
274,2020-10-04,0,1,0,1.0
275,2020-10-03,1,0,0,1.5
276,2020-10-02,3,4,2,0.611
277,2020-10-01,3,1,2,0.417
278,2020-09-30,4,4,3,0.5
279,2020-09-29,6,5,1,1.042
280,2020-09-28,6,7,1,1.036
281,2020-09-27,0,1,0,1.0
282,2020-09-26,1,0,1,0.0
283,2020-09-25,6,9,6,0.429
284,2020-09-24,6,11,2,0.895
285,2020-09-23,7,1,3,0.636
286,2020-09-22,9,3,0,1.375
287,2020-09-21,11,3,1,1.2
288,2020-09-20,2,1,0,1.333
289,2020-09-19,0,1,0,1.0
290,2020-09-18,8,3,4,0.6
291,2020-09-17,8,9,2,0.947
292,2020-09-16,9,17,3,0.897
293,2020-09-15,44,51,3,1.148
294,2020-09-14,2,4,1,0.786
295,2020-09-13,3,5,0,1.188
296,2020-09-12,0,1,1,-0.25
297,2020-09-11,6,16,3,0.82
298,2020-09-10,6,12,3,0.786
299,2020-09-09,4,7,6,0.235
300,2020-09-08,15,7,16,0.145
301,2020-09-07,1,6,5,0.0
302,2020-09-06,1,2,1,0.5
303,2020-09-05,1,4,2,0.357
304,2020-09-04,10,10,10,0.333
305,2020-09-03,5,11,10,0.135
306,2020-09-02,5,8,7,0.25
307,2020-09-01,26,5,4,1.086
308,2020-08-31,17,15,7,0.769
309,2020-08-30,1,0,2,-0.5
310,2020-08-29,2,1,0,1.333
311,2020-08-28,6,7,16,-0.276
312,2020-08-27,8,9,5,0.614
313,2020-08-26,10,13,8,0.516
314,2020-08-25,12,12,6,0.7
315,2020-08-24,19,6,13,0.395
316,2020-08-23,2,0,7,-0.833
317,2020-08-22,1,2,0,1.167
318,2020-08-21,14,13,3,0.983
319,2020-08-20,15,11,1,1.185
320,2020-08-19,33,7,4,1.148
321,2020-08-18,8,5,15,-0.196
322,2020-08-17,6,9,14,-0.103
323,2020-08-16,1,2,2,0.1
324,2020-08-15,1,1,3,-0.4
325,2020-08-14,9,16,12,0.311
326,2020-08-13,20,15,16,0.412
327,2020-08-12,5,2,1,1.0
328,2020-08-11,7,5,4,0.594
329,2020-08-10,10,4,9,0.239
330,2020-08-09,2,0,1,0.5
331,2020-08-08,0,2,0,1.0
332,2020-08-07,3,4,4,0.227
333,2020-08-06,5,4,3,0.583
334,2020-08-05,6,7,5,0.472
335,2020-08-04,11,12,0,1.239
336,2020-08-03,8,5,6,0.421
337,2020-08-02,1,2,0,1.167
338,2020-08-01,1,1,0,1.25
339,2020-07-31,26,17,1,1.239
340,2020-07-30,26,21,3,1.11
341,2020-07-29,5,18,11,0.265
342,2020-07-28,5,14,1,1.0
343,2020-07-27,6,12,1,1.026
344,2020-07-26,1,4,0,1.1
345,2020-07-25,0,2,0,1.0
346,2020-07-24,4,8,2,0.786
347,2020-07-23,3,11,9,0.087
348,2020-07-22,1,11,1,0.846
349,2020-07-21,12,4,2,1.056
350,2020-07-20,0,2,1,0.167
351,2020-07-19,1,0,0,1.5
352,2020-07-17,2,0,0,1.5
353,2020-07-16,4,8,0,1.167
354,2020-07-15,28,4,1,1.348
355,2020-07-14,7,4,3,0.714
356,2020-07-13,11,16,0,1.204
357,2020-07-11,2,0,0,1.5
358,2020-07-10,5,5,0,1.25
359,2020-07-09,4,3,0,1.286
360,2020-07-08,9,5,1,1.133
361,2020-07-07,4,8,1,0.962
362,2020-07-06,6,3,0,1.333
363,2020-07-05,2,0,0,1.5
364,2020-07-04,2,0,0,1.5
365,2020-07-03,1,3,0,1.125
366,2020-07-02,6,11,2,0.895
367,2020-07-01,7,13,10,0.283
