,0,1,2,3,4
165,2021-01-16,1,0,0,1.5
166,2021-01-15,2,0,4,-0.5
167,2021-01-14,6,1,3,0.55
168,2021-01-13,2,5,2,0.556
169,2021-01-12,5,0,5,0.0
170,2021-01-11,6,1,7,-0.036
171,2021-01-10,0,0,1,-1.5
172,2021-01-09,0,1,0,1.0
173,2021-01-08,1,1,7,-0.889
174,2021-01-07,1,1,3,-0.4
175,2021-01-06,2,3,8,-0.462
176,2021-01-05,6,2,1,1.056
177,2021-01-04,2,20,1,0.935
178,2021-01-03,1,0,0,1.5
179,2021-01-02,1,0,0,1.5
180,2020-12-31,3,3,0,1.25
181,2020-12-30,2,1,1,0.625
182,2020-12-29,5,0,1,1.0
183,2020-12-28,5,0,0,1.5
184,2020-12-27,0,0,2,-1.5
185,2020-12-24,1,0,1,0.0
186,2020-12-23,6,2,2,0.8
187,2020-12-22,7,13,3,0.826
188,2020-12-21,6,3,1,1.05
189,2020-12-20,0,0,1,-1.5
190,2020-12-19,1,0,0,1.5
191,2020-12-18,5,2,5,0.167
192,2020-12-17,16,2,26,-0.295
193,2020-12-16,0,1,25,-1.404
194,2020-12-15,0,3,23,-1.212
195,2020-12-14,3,8,22,-0.621
196,2020-12-12,1,0,0,1.5
197,2020-12-11,2,0,8,-0.9
198,2020-12-10,1,5,16,-0.795
199,2020-12-09,3,6,0,1.167
200,2020-12-08,4,2,3,0.389
201,2020-12-07,3,3,6,-0.125
202,2020-12-06,0,0,1,-1.5
203,2020-12-05,1,0,0,1.5
204,2020-12-04,2,0,2,0.0
205,2020-12-03,0,1,4,-1.0
206,2020-12-02,2,1,7,-0.65
207,2020-12-01,4,1,1,0.917
208,2020-11-30,4,0,6,-0.3
209,2020-11-29,2,0,0,1.5
210,2020-11-27,1,0,6,-1.071
211,2020-11-26,1,0,3,-0.75
212,2020-11-25,3,2,4,0.056
213,2020-11-24,2,4,4,0.1
214,2020-11-23,1,1,4,-0.583
215,2020-11-21,1,0,0,1.5
216,2020-11-20,3,1,2,0.417
217,2020-11-19,5,1,2,0.688
218,2020-11-18,11,5,3,0.895
219,2020-11-17,4,1,1,0.917
220,2020-11-16,8,1,0,1.444
221,2020-11-15,0,1,2,-0.667
222,2020-11-14,2,0,0,1.5
223,2020-11-13,1,1,4,-0.583
224,2020-11-12,4,3,9,-0.281
225,2020-11-11,5,1,5,0.091
226,2020-11-10,2,2,3,0.071
227,2020-11-09,2,1,3,-0.083
228,2020-11-07,0,1,0,1.0
229,2020-11-06,7,1,1,1.111
230,2020-11-05,3,0,2,0.3
231,2020-11-04,13,2,3,0.944
232,2020-11-03,3,3,1,0.857
233,2020-11-02,3,3,2,0.563
234,2020-11-01,2,0,0,1.5
235,2020-10-31,0,0,1,-1.5
236,2020-10-30,10,7,3,0.875
237,2020-10-29,25,15,3,1.116
238,2020-10-28,3,19,21,-0.186
239,2020-10-27,10,3,11,0.063
240,2020-10-26,1,4,5,-0.2
241,2020-10-25,4,2,6,-0.083
242,2020-10-24,1,1,1,0.333
243,2020-10-23,3,3,5,0.0
244,2020-10-22,3,1,8,-0.542
245,2020-10-21,3,4,10,-0.382
246,2020-10-20,3,5,61,-1.188
247,2020-10-19,4,1,2,0.571
248,2020-10-18,0,1,0,1.0
249,2020-10-17,0,1,0,1.0
250,2020-10-16,3,1,2,0.417
251,2020-10-15,1,4,5,-0.2
252,2020-10-14,3,2,1,0.833
253,2020-10-13,3,0,1,0.75
254,2020-10-12,5,2,7,-0.071
255,2020-10-11,1,1,1,0.333
256,2020-10-10,0,0,2,-1.5
257,2020-10-09,1,6,4,0.136
258,2020-10-08,9,3,7,0.316
259,2020-10-07,6,9,16,-0.194
260,2020-10-06,8,9,21,-0.276
261,2020-10-05,5,3,1,1.0
262,2020-10-04,1,1,1,0.333
263,2020-10-03,1,0,1,0.0
264,2020-10-02,3,8,2,0.731
265,2020-10-01,4,17,2,0.87
266,2020-09-30,4,20,8,0.438
267,2020-09-29,1,8,6,0.033
268,2020-09-28,3,6,1,0.9
269,2020-09-27,1,0,0,1.5
270,2020-09-26,1,0,0,1.5
271,2020-09-25,0,9,4,0.231
272,2020-09-24,0,6,5,-0.136
273,2020-09-23,4,5,2,0.727
274,2020-09-22,6,2,2,0.8
275,2020-09-21,3,2,1,0.833
276,2020-09-20,0,0,1,-1.5
277,2020-09-18,1,2,2,0.1
278,2020-09-17,0,2,0,1.0
279,2020-09-16,1,4,0,1.1
280,2020-09-15,5,2,3,0.5
281,2020-09-14,16,2,2,1.15
282,2020-09-13,0,0,1,-1.5
283,2020-09-12,0,1,0,1.0
284,2020-09-11,1,3,2,0.25
285,2020-09-10,0,5,0,1.0
286,2020-09-09,3,2,0,1.3
287,2020-09-08,3,4,3,0.4
